Date,Value (EU)
1980,8551.64
1981,7525.547
1982,7271.924
1983,7090.118
1984,6811.605
1985,7000.014
1986,9572.726
1987,11705.068
1988,12891.149
1989,13071.482
1990,15991.456
1991,16961.557
1992,18204.889
1993,16315.755
1994,17285.463
1995,19552.684
1996,19842.223
1997,18201.041
1998,18744.739
1999,18628.008
2000,17066.182
2001,17303.545
2002,18868.09
2003,23119.124
2004,26484.175
2005,27544.487
2006,29295.782
2007,33836.256
2008,37343.114
2009,33722.254
2010,33260.463
2011,35927.873
2012,33338.579
2013,34762.658
2014,35535.47
2015,30697.965
2016,31380.778
2017,33313.276
2018,36019.757
2019,35289.773
2020,34513.79
2021,38842.426
2022,37529.182